Date,Sample,Site,Transect,Species,Qudrats_replicate,Coralite_per_cm2
20250217,2184,15,1,P.grandis,1,7
20250217,2184,15,1,P.grandis,2,7
20250217,2184,15,1,P.grandis,3,8
20250217,1317,15,1,P.tuahiniensis,1,7
20250217,1317,15,1,P.tuahiniensis,2,6
20250217,1317,15,1,P.tuahiniensis,3,6
20250217,1319,15,1,P.effusa,1,8
20250217,1319,15,1,P.effusa,2,8
20250217,1319,15,1,P.effusa,3,7
20250217,1392,15,1,P.verrucosa,1,8
20250217,1392,15,1,P.verrucosa,2,8
20250217,1392,15,1,P.verrucosa,3,6
20250217,1400,15,1,P.verrucosa,1,6
20250217,1400,15,1,P.verrucosa,2,7
20250217,1400,15,1,P.verrucosa,3,5
20250217,1409,15,1,P.tuahiniensis,1,6
20250217,1409,15,1,P.tuahiniensis,2,7
20250217,1409,15,1,P.tuahiniensis,3,9
20250217,1433,15,1,P.meandrina,1,9
20250217,1433,15,1,P.meandrina,2,9
20250217,1433,15,1,P.meandrina,3,9
20250217,1439,15,1,P.meandrina,1,7
20250217,1439,15,1,P.meandrina,2,9
20250217,1439,15,1,P.meandrina,3,5
20250217,2051,15,2,P.effusa,1,6
20250217,2051,15,2,P.effusa,2,6
20250217,2051,15,2,P.effusa,3,2
20250217,2065,15,2,P.effusa,1,10
20250217,2065,15,2,P.effusa,2,7
20250217,2065,15,2,P.effusa,3,8
20250217,2178,15,2,P.verrucosa,1,7
20250217,2178,15,2,P.verrucosa,2,5
20250217,2178,15,2,P.verrucosa,3,5
20250217,2184,15,2,P.grandis,1,7
20250217,2184,15,2,P.grandis,2,7
20250217,2184,15,2,P.grandis,3,8
20250217,2191,15,2,P.acuta,1,8
20250217,2191,15,2,P.acuta,2,6
20250217,2191,15,2,P.acuta,3,9
20250217,2192,15,2,P.grandis,1,8
20250217,2192,15,2,P.grandis,2,7
20250217,2192,15,2,P.grandis,3,7
20250217,2193,15,2,P.meandrina,1,7
20250217,2193,15,2,P.meandrina,2,7
20250217,2193,15,2,P.meandrina,3,5
20250217,2217,15,2,P.tuahiniensis,1,5
20250217,2217,15,2,P.tuahiniensis,2,8
20250217,2217,15,2,P.tuahiniensis,3,7
